task_id,noskill,r1-v1,r1-v2,r2-v1.d1,r2-v1.d2,r2-v1.d3,r2-v4.d1,r2-v4.d2,r2-v4.d3
BinXBioLab-Data_Science_Capstone_Fall_2022-tangram-scripts-Tangram_BX__nuclei_max_spot,fail,fail,pass,fail,fail,fail,pass,pass,pass
FreedomIntelligence-OpenClaw-Medical-Skills-skills-bio-workflows-spatial-pipeline-examples-visium_wo__svg_marker_mibitof,pass,pass,pass,pass,pass,pass,pass,pass,pass
FreedomIntelligence-OpenClaw-Medical-Skills-skills-spatial-transcriptomics-analysis-bioSkills-spatia__nhood_self_enrichment,pass,pass,pass,pass,pass,pass,pass,pass,pass
HuangLab-PKU-PRISM-Analysis-HCC3Dpseudo-nhood_enrichment__nhood_most_segregated,fail,fail,fail,pass,pass,fail,pass,fail,void
HuangLab-PKU-PRISM-Analysis-HCC3Dpseudo-nhood_enrichment__nhood_top_enriched,fail,fail,fail,fail,fail,fail,fail,fail,void
JakobElkholtei-retinoblastoma-notebooks-01_exploration__spatial_neighbor_edges,pass,pass,pass,fail,pass,fail,pass,fail,void
PKU-YuanGroup-OpenAI4S-skills-bioskills-bio-spatial-transcriptomics-image-analysis-scripts-extract_f__img_feature_top_spot,pass,pass,pass,pass,pass,pass,pass,pass,pass
PKU-YuanGroup-OpenAI4S-skills-bioskills-bio-workflows-spatial-pipeline-scripts-visium_workflow__top_svg_moran,fail,pass,pass,fail,pass,pass,pass,pass,pass
Theo-Nelson-SMS-colab-2025-C4-SMSS_HW3__moran_top_gene,pass,pass,pass,pass,pass,pass,pass,pass,void
Yu-AnChen-dump-2023-02-orion-colon-spatial-analysis__nhood_enrichment_pair,fail,pass,pass,pass,pass,pass,pass,pass,void
abyssum-spatial-Nanostring-Nanostring_data__nhood_enrichment_pair,fail,fail,fail,pass,fail,fail,fail,fail,fail
abyssum-spatial-Vizgen-Vizgen_data__merfish_moran_top_gene,pass,pass,pass,pass,pass,pass,pass,pass,pass
abyssum-spatial-slide_seqV2-slide_seqV2_data__moran_top_spatial_gene,pass,pass,pass,pass,pass,pass,pass,pass,pass
arundasan91-ScSTA_tutorial-scsta_pipeline_nb2_NSCLC__mibitof_centrality,pass,pass,pass,pass,pass,pass,pass,pass,void
arundasan91-ScSTA_tutorial-scsta_pipeline_nb2_NSCLC__mibitof_colocalization,fail,fail,pass,fail,fail,pass,pass,fail,void
arundasan91-ScSTA_tutorial-scsta_pipeline_nb2_NSCLC__mibitof_ripley_clustering,fail,fail,fail,fail,fail,fail,fail,fail,fail
bdsc-tds-Norkin2026-workflow-analysis-xenium-2-coda__nhood_enrichment_top_pair,fail,fail,fail,fail,pass,fail,fail,pass,fail
bozeklab-ecm_segmentation-ecm-connectivity_metrics__ecm_co_occurrence,pass,pass,pass,pass,pass,pass,pass,pass,pass
brain-discourse-Scanpy_scRNAseq_multiomics_2022_CSHL-spatial_basics-tissue-module-Squidpy_Visium__img_segmentation_object_density,pass,pass,pass,fail,pass,fail,fail,fail,void
ccb-hms-spatial-workshop-python-notebooks-nb4_spatial_statistics_with_squidpy__co_occurrence_top_partner,fail,pass,pass,pass,pass,pass,pass,pass,void
csangara-thesis-Scripts-vignettes-.ipynb_checkpoints-squidpy_tutorial_visium_h-e-checkpoint__co-occurrence-neighbor,pass,pass,pass,pass,pass,pass,pass,pass,pass
dkim195-HyDD2-Codes-5.-Xenium-Squidpy__centrality_top_celltype,pass,pass,pass,pass,pass,pass,pass,pass,pass
elijahedmondson-Digital-Spatial-Profiling-squidpy_notebooks-master-examples-image-compute_features__image_features_brightest_region,pass,pass,pass,pass,pass,pass,pass,pass,void
emadulhaqq-Spacial-Transcriptomics-HnE-Visium__moran_top_gene,fail,pass,fail,fail,pass,fail,pass,fail,void
estorrs-multiplex-imaging-pipeline-notebooks-batch_neighborhood_analysis_v1__co_occurrence_nearest,pass,pass,pass,pass,pass,pass,pass,pass,pass
frankligy-exercise_codes-spatial-IMC__nhood_enrichment_partner,pass,pass,pass,pass,pass,pass,pass,pass,pass
frankligy-exercise_codes-spatial-Slide-SeqV2__nhood_self_enrichment,pass,pass,pass,fail,pass,pass,pass,pass,void
histocartography-spatial-omics-bench-from_to_annData__nhood_enrichment_pair,fail,fail,fail,fail,fail,fail,fail,fail,fail
hubmapconsortium-user-templates-api-src-user_templates_api-templates-jupyter_lab-templates-squidpy-t__interaction_matrix_pair,pass,pass,pass,pass,pass,pass,pass,pass,pass
linkangit-10x-Visium-HD-data-analysis-Visium_HD_code__visium_hne_cooccurrence_partner,pass,pass,pass,pass,pass,pass,pass,pass,pass
saeyslab-spotless-benchmark-subworkflows-deconvolution-tangram-script_nf__img_segment_cell_count,fail,fail,fail,fail,fail,fail,fail,fail,fail
swaruplab-operon-protocols-spatial-transcriptomics-assets-spatial_template__spatial_co_occurrence,pass,pass,pass,pass,pass,pass,pass,pass,pass
taimoorasad01-spatial-transcriptomics-10x-analysis-notebooks-03_visium_hne-mouse_brain_spatial_stati__moran_top_gene,pass,pass,pass,fail,pass,fail,pass,pass,void
taimoorasad01-spatial-transcriptomics-10x-analysis-notebooks-03_visium_hne-mouse_brain_spatial_stati__nhood_enrichment,pass,pass,pass,pass,pass,pass,pass,pass,pass
theislab-scanpy_squidpy_demo_2021-tutorial_visium_hne__ligrec_top_pair,fail,fail,fail,fail,fail,fail,pass,fail,fail
xX-its-amit-Xx-spatial-sarc-atlas-notebooks-05_niche_identification__nhood_enrichment_partner,pass,pass,pass,pass,pass,pass,pass,pass,void
